Species ID,common_name
ACAD-1137,Eastern Least Tern
ACAD-1137,Least Tern
ACAD-1138,Caspian Tern
ACAD-1139,Northern Roseate Tern
ACAD-1139,Roseate Tern
ACAD-1140,Eastern Sooty Tern
ACAD-1140,Sooty Tern
ACAD-1141,Common Tern
ACAD-1141,Northern Common Tern
ACAD-1142,Royal Tern
ACAD-1143,Arctic Tern
ACAD-1144,Northern Sabine's Gull
ACAD-1144,Sabine's Gull
ACAD-1145,American Avocet
ACAD-1145,Avocet
ACAD-1146,Spotted Sandpiper
ACAD-1147,Ruddy Turnstone
ACAD-1148,Bartramian Sandpiper
ACAD-1148,Upland Plover
ACAD-1148,Upland Sandpiper
ACAD-1149,Sanderling
ACAD-1150,Dunlin
ACAD-1150,Red-Backed Dunlin
ACAD-1150,Red-Backed Sandpiper
ACAD-1151,Baird's Sandpiper
ACAD-1152,American Knot
ACAD-1152,Knot
ACAD-1152,Red Knot
ACAD-1153,White-Rumped Sandpiper
ACAD-1154,Stilt Sandpiper
ACAD-1155,Purple Sandpiper
ACAD-1156,Western Sandpiper
ACAD-1157,Pectoral Sandpiper
ACAD-1158,Least Sandpiper
ACAD-1159,Semipalmated Sandpiper
ACAD-1160,Eastern Willet
ACAD-1160,Willet
ACAD-1161,Common Snipe
ACAD-1161,Wilson's Common Snipe
ACAD-1161,Wilson's Snipe
ACAD-1162,Eastern Dowitcher
ACAD-1162,Short-Billed Dowitcher
ACAD-1163,Long-Billed Dowitcher
ACAD-1164,Hudsonian Godwit
ACAD-1165,Long-Billed Curlew
ACAD-1165,Southern Long-Billed Curlew
ACAD-1166,Eskimo Curlew
ACAD-1167,Hudsonian Curlew
ACAD-1167,Hudsonian Whimbrel
ACAD-1167,Whimbrel
ACAD-1168,Red Phalarope
ACAD-1169,Northern Phalarope
ACAD-1169,Red-Necked Phalarope
ACAD-1170,Wilson's Phalarope
ACAD-1171,American Woodcock
ACAD-1172,Lesser Yellowlegs
ACAD-1172,Lesser Yellow-Legs
ACAD-1173,Greater Yellowlegs
ACAD-1173,Greater Yellow-Legs
ACAD-1174,Eastern Solitary Sandpiper
ACAD-1174,Solitary Sandpiper
ACAD-1175,Great Skua
ACAD-1176,Long-Tailed Jaeger
ACAD-1177,Parasitic Jaeger
ACAD-1178,Pomarine Jaeger
ACAD-1179,Domestic Pigeon
ACAD-1179,Feral Pigeon
ACAD-1179,Pigeon
ACAD-1179,Rock Dove
ACAD-1180,Passenger Pigeon
ACAD-1181,Eastern Mourning Dove
ACAD-1181,Mourning Dove
ACAD-1182,Belted Kingfisher
ACAD-1182,Eastern Belted Kingfisher
ACAD-1183,Eastern Yellow-Billed Cuckoo
ACAD-1183,Yellow-Billed Cuckoo
ACAD-1184,Black-Billed Cuckoo
ACAD-1185,Eastern Pigeon Hawk
ACAD-1185,Merlin
ACAD-1185,Pigeon Hawk
ACAD-1186,American Peregrine Falcon
ACAD-1186,Duck Hawk
ACAD-1186,Peregrine Falcon
ACAD-1187,American Gyrfalcon
ACAD-1187,Gyrfalcon
ACAD-1187,White Gyrfalcon
ACAD-1188,American Kestrel
ACAD-1188,Eastern Sparrow Hawk
ACAD-1188,Northern Sparrow Hawk
ACAD-1188,Sparrow Hawk
ACAD-1189,Bob-White
ACAD-1189,Northern Bobwhite
ACAD-1190,Canada Ruffed Grouse
ACAD-1190,Partridge
ACAD-1190,Ruffed Grouse
ACAD-1190,Timber Grouse
ACAD-1191,Canada Grouse
ACAD-1191,Canada Spruce Grouse
ACAD-1191,Haith Hen
ACAD-1191,Heath Hen
ACAD-1191,Spruce Grouse
ACAD-1191,Spruce Partridge
ACAD-1192,Eastern Turkey
ACAD-1192,Wild Turkey
ACAD-1193,Common Partridge
ACAD-1193,European Gray Partridge
ACAD-1193,European Partridge
ACAD-1193,Gray Partridge
ACAD-1194,Pheasant
ACAD-1194,Ring-Necked Pheasant
ACAD-1195,Heath Hen
ACAD-1196,Common Loon
ACAD-1196,Greater Common Loon
ACAD-1197,Pacific Loon
ACAD-1198,Red-Throated Loon
ACAD-1199,Sandhill Crane
ACAD-1200,American Coot
ACAD-1200,Northern American Coot
ACAD-1201,Common Gallinule
ACAD-1201,Common Moorhen
ACAD-1201,Florida Gallinule
ACAD-1202,Purple Gallinule
ACAD-1203,Sora Rail
ACAD-1203,Sora
ACAD-1204,King Rail
ACAD-1204,Northern King Rail
ACAD-1205,Northern Virginia Rail
ACAD-1205,Virginia Rail
ACAD-1206,Clapper Rail
ACAD-1206,Northern Clapper Rail
ACAD-1207,Horned Lark
ACAD-1207,Northern Horned Lark
ACAD-1208,Cedar Waxwing
ACAD-1209,Bohemian Waxwing
ACAD-1209,Greater Waxwing
ACAD-1210,Common Lapland Longspur
ACAD-1210,Lapland Longspur
ACAD-1211,Eastern Snow Bunting
ACAD-1211,Snow Bunting
ACAD-1211,Snowflake
ACAD-1212,Eastern Cardinal
ACAD-1212,Northern Cardinal
ACAD-1213,Blue Grosbeak
ACAD-1213,Eastern Blue Grosbeak
ACAD-1214,Lazuli Bunting
ACAD-1215,Painted Bunting
ACAD-1216,Indigo Bunting
ACAD-1217,Rose-Breasted Grosbeak
ACAD-1218,Western Tanager
ACAD-1219,Scarlet Tanager
ACAD-1220,Eastern Summer Tanager
ACAD-1220,Summer Tanager
ACAD-1221,Dickcissel
ACAD-1222,Brown Creeper
ACAD-1222,Eastern Brown Creeper
ACAD-1223,American Crow
ACAD-1223,Common Crow
ACAD-1223,Crow
ACAD-1223,Eastern Crow
ACAD-1224,Common Raven
ACAD-1224,Northern Raven
ACAD-1224,Raven
ACAD-1225,Blue Jay
ACAD-1225,Northern Blue Jay
ACAD-1226,Canada Gray Jay
ACAD-1226,Canada Jay
ACAD-1226,Gray Jay
ACAD-1227,Intermediate Sharp-Tailed Sparrow
ACAD-1227,Saltmarsh Sharp-Tailed Sparrow
ACAD-1228,Le Conte's Sparrow
ACAD-1228,Leconte's Sparrow
ACAD-1229,Nelson's Sharp-Tailed Sparrow
ACAD-1230,Eastern Grasshopper Sparrow
ACAD-1230,Grasshopper Sparrow
ACAD-1231,Lark Bunting
ACAD-1232,Eastern Lark Sparrow
ACAD-1232,Lark Sparrow
ACAD-1233,Dark-Eyed Junco
