common_name,Species ID
Laughing Gull,ACAD-1124
RingBilled Gull,ACAD-1125
Lesser BlackBacked Gull,ACAD-1126
Eastern Iceland Gull,ACAD-1127
Iceland Gull,ACAD-1127
Eastern Glaucous Gull,ACAD-1128
Glaucous Gull,ACAD-1128
Great BlackBacked Gull,ACAD-1129
Little Gull,ACAD-1130
Bonapartes Gull,ACAD-1131
Franklins Gull,ACAD-1132
BlackHeaded Gull,ACAD-1133
Western BlackHeaded Gull,ACAD-1133
Ivory Gull,ACAD-1134
Atlantic Kittiwake,ACAD-1135
BlackLegged Kittiwake,ACAD-1135
Black Skimmer,ACAD-1136
Northern Black Skimmer,ACAD-1136
Eastern Least Tern,ACAD-1137
Least Tern,ACAD-1137
Caspian Tern,ACAD-1138
Northern Roseate Tern,ACAD-1139
Roseate Tern,ACAD-1139
Eastern Sooty Tern,ACAD-1140
Sooty Tern,ACAD-1140
Common Tern,ACAD-1141
Northern Common Tern,ACAD-1141
Royal Tern,ACAD-1142
Arctic Tern,ACAD-1143
Northern Sabines Gull,ACAD-1144
Sabines Gull,ACAD-1144
American Avocet,ACAD-1145
Avocet,ACAD-1145
Spotted Sandpiper,ACAD-1146
Ruddy Turnstone,ACAD-1147
Bartramian Sandpiper,ACAD-1148
Upland Plover,ACAD-1148
Upland Sandpiper,ACAD-1148
Sanderling,ACAD-1149
Dunlin,ACAD-1150
RedBacked Dunlin,ACAD-1150
RedBacked Sandpiper,ACAD-1150
Bairds Sandpiper,ACAD-1151
American Knot,ACAD-1152
Knot,ACAD-1152
Red Knot,ACAD-1152
WhiteRumped Sandpiper,ACAD-1153
Stilt Sandpiper,ACAD-1154
Purple Sandpiper,ACAD-1155
Western Sandpiper,ACAD-1156
Pectoral Sandpiper,ACAD-1157
Least Sandpiper,ACAD-1158
Semipalmated Sandpiper,ACAD-1159
Eastern Willet,ACAD-1160
Willet,ACAD-1160
Common Snipe,ACAD-1161
Wilsons Common Snipe,ACAD-1161
Wilsons Snipe,ACAD-1161
Eastern Dowitcher,ACAD-1162
ShortBilled Dowitcher,ACAD-1162
LongBilled Dowitcher,ACAD-1163
Hudsonian Godwit,ACAD-1164
LongBilled Curlew,ACAD-1165
Southern LongBilled Curlew,ACAD-1165
Eskimo Curlew,ACAD-1166
Hudsonian Curlew,ACAD-1167
Hudsonian Whimbrel,ACAD-1167
Whimbrel,ACAD-1167
Red Phalarope,ACAD-1168
Northern Phalarope,ACAD-1169
RedNecked Phalarope,ACAD-1169
Wilsons Phalarope,ACAD-1170
American Woodcock,ACAD-1171
Lesser Yellowlegs,ACAD-1172
Greater Yellowlegs,ACAD-1173
Eastern Solitary Sandpiper,ACAD-1174
Solitary Sandpiper,ACAD-1174
Great Skua,ACAD-1175
LongTailed Jaeger,ACAD-1176
Parasitic Jaeger,ACAD-1177
Pomarine Jaeger,ACAD-1178
Domestic Pigeon,ACAD-1179
Feral Pigeon,ACAD-1179
Pigeon,ACAD-1179
Rock Dove,ACAD-1179
