ParkID,Park Code,Park Name,Acres,Latitude,Longitude,ParkImageURL,State
38,MEVE,Mesa Verde National Park,52122,37.18,-108.49,https://upload.wikimedia.org/wikipedia/commons/9/9f/Mesa_verde_north_2007.jpg,CO
39,MORA,Mount Rainier National Park,235625,46.85,-121.75,https://upload.wikimedia.org/wikipedia/commons/3/32/Mount_Rainier_from_above_Myrtle_Falls_in_August.JPG,WA
40,NOCA,North Cascades National Park,504781,48.7,-121.2,https://upload.wikimedia.org/wikipedia/commons/8/80/Cascade_Pass_and_Pelton_Basin.jpg,WA
41,OLYM,Olympic National Park,922651,47.97,-123.5,https://upload.wikimedia.org/wikipedia/commons/a/a8/Cedar_Creek_Abbey_Island_Ruby_Beach.jpg,WA
42,PEFO,Petrified Forest National Park,93533,35.07,-109.78,https://upload.wikimedia.org/wikipedia/commons/e/e8/The_PEFO_Tepees.jpg,AZ
43,PINN,Pinnacles National Park,26606,36.48,-121.16,https://upload.wikimedia.org/wikipedia/commons/4/44/Rock_formations_at_Pinnacles_National_Park.jpg,CA
44,REDW,Redwood National Park,112512,41.3,-124.0,https://upload.wikimedia.org/wikipedia/commons/d/de/Redwood_National_Park%2C_fog_in_the_forest.jpg,CA
45,ROMO,Rocky Mountain National Park,265828,40.4,-105.58,https://upload.wikimedia.org/wikipedia/commons/3/3e/Rocky_Mountain_National_Park_in_September_2011_-_Glacier_Gorge_from_Bear_Lake.JPG,CO
46,SAGU,Saguaro National Park,91440,32.25,-110.5,https://upload.wikimedia.org/wikipedia/commons/b/b4/Saguaro_Sunset.jpg,AZ
47,SEKI,Sequoia and Kings Canyon National Parks,865952,36.43,-118.68,https://upload.wikimedia.org/wikipedia/commons/f/f7/Rae_Lakes_Creek_%286064580766%29.jpg,CA
48,SHEN,Shenandoah National Park,199045,38.53,-78.35,https://upload.wikimedia.org/wikipedia/commons/1/10/Skyline_Drive_in_the_Fall_%2821852619608%29.jpg,VA
49,THRO,Theodore Roosevelt National Park,70447,46.97,-103.45,https://upload.wikimedia.org/wikipedia/commons/3/34/View_of_Theodore_Roosevelt_National_Park.jpg,ND
50,VOYA,Voyageurs National Park,218200,48.5,-92.88,https://upload.wikimedia.org/wikipedia/commons/b/bd/Voyageurs_National_Park.jpg,MN
51,WICA,Wind Cave National Park,28295,43.57,-103.48,https://upload.wikimedia.org/wikipedia/commons/0/01/Cave_Boxwork_often_call_cratework_when_this_large._WInd_Cave.JPG,SD
52,WRST,Wrangell - St Elias National Park and Preserve,8323148,61.0,-142.0,https://upload.wikimedia.org/wikipedia/commons/0/05/Mt_Saint_Elias.jpg,AK
53,YELL,Yellowstone National Park,2219791,44.6,-110.5,https://upload.wikimedia.org/wikipedia/commons/c/c9/YellowstonefallJUN05.JPG,"WY, MT, ID"
54,YOSE,Yosemite National Park,761266,37.83,-119.5,https://upload.wikimedia.org/wikipedia/commons/1/13/Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg,CA
55,ZION,Zion National Park,146598,37.3,-113.05,https://upload.wikimedia.org/wikipedia/commons/1/10/Zion_angels_landing_view.jpg,UT
